Variable / Field Name,Form Name,Section Header,Field Label,"Choices, Calculations, OR Slider Labels",Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Standardized Term Codelist URL,Metathesaurus Concept Code,Metathesaurus Code Link,Branching Logic (Show field only if...)
symptoms_lymphadenopathy,presentation,,Lymphadenopathy,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has lymphadenopathy specified as abnormal enlargement of the lymph nodes at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"30746006, Lymphadenopathy","https://termbrowser.nhs.uk/?perspective=full&conceptId1=30746006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4014613, Lymphadenopathy",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4014613,
symptoms_fatigue,presentation,,Fatigue / Malaise / Lethargy,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has asthenia, specified as a sign or symptom of weakness and diminished or absent energy and strength (fatigue, malaise, lethargy) at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"13791008, Asthenia ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=13791008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0004093, Asthenia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0004093,
symptoms_headache,presentation,,Headache,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a headache, specified as pain in various parts of the head, not confined to the area of distribution of any nerve at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"25064002, Headache ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=25064002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0018681, Headache",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0018681,
symptoms_seizures,presentation,,Seizures,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has seizures or convulsions specified as a sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"230433003, Isolated seizures (disorder)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=230433003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C2748942, Seizure",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C2748942,
symptoms_confusion,presentation,,Altered consciousness/confusion,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has altered consciousness/confusion, specified as A level of awareness and arousal other than normal at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"443371007, Decreased level of consciousness","https://termbrowser.nhs.uk/?perspective=full&conceptId1=443371007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0150450, Altered level of consciousness",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0150450,
symptoms_myalgia,presentation,,Muscle aches (myalgia),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has muscle aches, specified as a painful sensation originating from a muscle or group of muscles at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"68962001, Muscle pain ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=68962001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0231528, Myalgia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0231528,
symptoms_arthralgia,presentation,,Joint pain (arthralgia),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has joint pains, specified as a disorder characterized by a sensation of marked discomfort in a joint at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"57676002, Joint pain ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=57676002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3805780, Arthralgia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3805780,
symptoms_inabilitywalk,presentation,,Inability to walk,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has an inability to walk, specified as an indicating that an individual is or was unable to walk at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"282145008, Unable to walk","https://termbrowser.nhs.uk/?perspective=full&conceptId1=282145008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4228638, Unable to walk",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4228638,
symptoms_abdominalpain,presentation,,Abdominal pain,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has abdominal pain, specified as a painful sensation in the abdominal region at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"21522001, Abdominal pain","https://termbrowser.nhs.uk/?perspective=full&conceptId1=21522001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3553274, Abdominal pain",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3553274,
symptoms_diarrhoea,presentation,,Diarrhoea,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has diarrhoea, specified as abnormally increased frequency of loose or watery bowel movements at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"62315008, Diarrhea","https://termbrowser.nhs.uk/?perspective=full&conceptId1=62315008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3554472, Diarrhea",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3554472,
symptoms_nausea,presentation,,Vomiting / Nausea,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has nausea and vomiting specified as an expelling the contents of the stomach and the sensations associated with it at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"16932000, Nausea and vomiting","https://termbrowser.nhs.uk/?perspective=full&conceptId1=16932000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0027498, Nausea and Vomiting",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0027498,
symptoms_anorexia,presentation,,Anorexia,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has loss of appetite at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"79890006, Loss of appetite","https://termbrowser.nhs.uk/?perspective=full&conceptId1=79890006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3554473, Anorexia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3554473,
symptoms_skinrash,presentation,,Skin rash,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has skin rash, specified as an eruption in the skin which affects its appearance and/or texture at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"271807003, Eruption of skin","https://termbrowser.nhs.uk/?perspective=full&conceptId1=271807003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4227880, Skin rash",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4227880,
symptoms_haemorrhage,presentation,,Bleeding (Haemorrhage),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has bleeding, specified as the flow of blood from a ruptured blood vessel at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"131148009, Bleeding","https://termbrowser.nhs.uk/?perspective=full&conceptId1=131148009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0019080, Hemorrhage",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0019080,
denguesymptoms_restlessness,presentation,,Restlessness,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has restlessness, specified as an inability to rest, relax, or be still at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"162221009, Restlessness ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=162221009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3887611, Restlessness",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3887611,[inclusioncriteria_disease(4)] = '1'
denguesymptoms_retroorbitalpain,presentation,,Retro-orbital pain,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has retro-orbital, specified as pain behind the eyes at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"33428000, Structure of retroorbital region (body structure) retro-orbital pain does not exist on Snomed","https://termbrowser.nhs.uk/?perspective=full&conceptId1=33428000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0743724, retro-orbital pain",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0743724,[inclusioncriteria_disease(4)] = '1'
denguesymptoms_convulsions,presentation,,Convulsions,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has convulsions, specified as a sudden, violent, irregular movement of the body, caused by involuntary contraction of muscles and associated especially with brain disorders such as epilepsy, the presence of certain toxins or other agents in the blood, or fever in children at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"394705009, History of febrile convulsions","https://termbrowser.nhs.uk/?perspective=full&conceptId1=394705009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0751056, Non-epileptic convulsion",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0751056,[inclusioncriteria_disease(4)] = '1'
denguesymptoms_dizzy,presentation,,Feeling dizzy / faint (presyncope?),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has felt faint, specified as the feeling of lightheadedness and dizziness which may precede an episode of syncope at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"248223005, Feeling faint","https://termbrowser.nhs.uk/?perspective=full&conceptId1=248223005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0581879, Felt faint",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0581879,[inclusioncriteria_disease(4)] = '1'
medicalhistpedhepatitis_fever,presentation,"<div class=""blue""><b><span style=""font-weight: normal;"">What persistent symptoms did your child have in the last three months?</span></div class=""blue"">",History of fever,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has a fever specified as an elevation of body temperature above normal due to inflammatory or immune responses at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"866621000000103, History of fever","https://termbrowser.nhs.uk/?perspective=full&conceptId1=866621000000103&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0015967, Fever (History of fever only as rheumatoid fever etc)",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0015967,[medicalhistpedhepatitis_persiistentsymptom] = '1'
medicalhistpedhepatitis_diarrhoea,presentation,,Diarrhoea,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has diarrhoea, specified as abnormally increased frequency of loose or watery bowel movements at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"62315008, Diarrhea","https://termbrowser.nhs.uk/?perspective=full&conceptId1=62315008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3554472, Diarrhea",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3554472,[medicalhistpedhepatitis_persiistentsymptom] = '1'
medicalhistpedhepatitis_weightloss,presentation,,Weight loss,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has weight loss, specified as a reduction in total body weight at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"89362005, Weight loss","https://termbrowser.nhs.uk/?perspective=full&conceptId1=89362005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1262477, Weight loss",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1262477,[medicalhistpedhepatitis_persiistentsymptom] = '1'
medicalhistpedhepatitis_nausea,presentation,,Vomiting / Nausea,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has vomiting or nausea, specified as expelling the contents of the stomach and the sensations associated with it at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"16932000, Nausea and vomiting","https://termbrowser.nhs.uk/?perspective=full&conceptId1=16932000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0027498, Nausea and Vomiting",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0027498,[medicalhistpedhepatitis_persiistentsymptom] = '1'
medicalhistpedhepatitis_abdominalpain,presentation,,Abdominal pain,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has abdominal pain, specified as a painful sensation in the abdominal region at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"21522001, Abdominal pain","https://termbrowser.nhs.uk/?perspective=full&conceptId1=21522001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3553274, Abdominal pain",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3553274,[medicalhistpedhepatitis_persiistentsymptom] = '1'
medicalhistpedhepatitis_tiredness,presentation,,Tiredness,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has fatigue, specified as overall tiredness and lack of energy at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"84229001, Fatigue","https://termbrowser.nhs.uk/?perspective=full&conceptId1=84229001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0015672, Fatigue",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0015672,[medicalhistpedhepatitis_persiistentsymptom] = '1'
diagnostics_covid,outcome,,SARS-CoV-2 (COVID-19),"1, Clinically assessed positive | 2, Lab positive | 3, Lab negative | 4, Not done","An indication whether the patient had/has SARS-CoV-2 (COVID-19) , specified as a species of BETACORONAVIRUS causing atypical respiratory disease (COVID-19) in humans at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"840533007, Severe acute respiratory syndrome coronavirus 2","https://termbrowser.nhs.uk/?perspective=full&conceptId1=840533007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1378879, SARS Coronavirus 2",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1378879,
diagnostics_influenza,outcome,,Influenza,"1, Clinically assessed positive | 2, Lab positive | 3, Lab negative | 4, Not done","An indication whether the patient had/has influenza, also called the flu, is a respiratory infection caused by viruses at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"725894000, Influenza virus","https://termbrowser.nhs.uk/?perspective=full&conceptId1=725894000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0021400, Influenza",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0021400,
diagnostics_rsv,outcome,,Respiratory Syncytial Virus (RSV),"1, Lab positive | 2, Lab negative | 3, Not done","An indication whether the patient had/has Respiratory Syncytial Virus (RSV), specified as a virus that causes respiratory infections with cold-like symptoms at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"6415009, Human respiratory syncytial virus","https://termbrowser.nhs.uk/?perspective=full&conceptId1=6415009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0206545, Human Respiratory Syncytial Virus",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0206545,
diagnostics_adenovirus,outcome,,Adenovirus,"1, Lab positive | 2, Lab negative | 3, Not done","An indication whether the patient had/has Adenovirus, specified as a member of a family of viruses that can cause infections in the respiratory tract, eye, and gastrointestinal tract at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"424470006, Family Adenoviridae","https://termbrowser.nhs.uk/?perspective=full&conceptId1=424470006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0001483, Adenoviridae",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0001483,
diagnostics_mpox,outcome,,Monkeypox virus (mpox),"1, Lab positive | 2, Lab negative | 3, Not done","An indication whether the patient had/has mpox, specified as an infection that is caused by an Orthopoxvirus, which is transmitted by primates or rodents, and which is characterized by a prodromal syndrome of fever, chills, headache, myalgia, and lymphedema; initial symptoms are followed by a generalized papular rash that typically progresses from vesiculation through crusting over the course of two weeks at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"359814004, Monkeypox","https://termbrowser.nhs.uk/?perspective=full&conceptId1=359814004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0276180, Monkeypox",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0276180,
diagnostics_hepatitis,outcome,,Hepatitis viruses,"1, Lab positive | 2, Lab negative | 3, Not done","An indication whether the patient had/has hepatitis viruses, specified as a non-taxonomic classification of unrelated viruses that cause liver inflammation and dysfunction at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"128241005, Inflammatory disease of liver (Only hepatitis on Snomed; all viruses are singled out, Hep A, Heb B etc)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=128241005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0019186, Hepatitis Virus",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0019186,
diagnostics_dengue,outcome,,Dengue infection,"1, Tested | 0, Not done","An indication whether the patient had/has Dengue infection, specified as an infection that is caused by the dengue virus, which is transmitted to humans by mosquitoes, and which is characterized by sudden onset of fever, headache, rash, arthralgia, and myalgia at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"38362002, Dengue","https://termbrowser.nhs.uk/?perspective=full&conceptId1=38362002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0011311, Dengue Fever",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0011311,
complications_viralpneumonia,outcome,COMPLICATIONS: At any time during hospitalisation did the patient experience,Viral pneumonia/pneumonitis,"1, Yes | 0, No","An indication whether the patient had/has viral pneumonia/pneumonitis, specified as inflammation of the lung parenchyma that is caused by a viral infection at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"75570004, Viral pneumonia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=75570004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0032310, Viral pneumonia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0032310,
complications_bacterialpneumonia,outcome,,Bacterial pneumonia,"1, Yes | 0, No","An indication whether the patient had/has bacterial pneumonia, specified as an acute infection of the lung parenchyma caused by bacteria (e.g., Streptococcus pneumoniae, Haemophilus influenzae, Chlamydia pneumoniae, Mycoplasma pneumoniae, and Legionella pneumophila) at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"53084003, Bacterial pneumonia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=53084003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0004626, Bacterial Pneumonia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0004626,
complications_acuterespiratorydistr,outcome,,Acute Respiratory Distress Syndrome,"1, Yes | 0, No","An indication whether the patient had/has acute respiratory distress specified as an abrupt onset of signs or symptoms indicating difficulty breathing including alterations in breath sounds and rate, chest retractions and color changes at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"67782005, Acute respiratory distress syndrome","https://termbrowser.nhs.uk/?perspective=full&conceptId1=67782005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1848829, Acute Respiratory Distress",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1848829,
complications_pneumothorax,outcome,,Pneumothorax,"1, Yes | 0, No","An indication whether the patient had/has a pneumothorax, specified as an abnormal presence of air in the pleural cavity at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"36118008, Pneumothorax","https://termbrowser.nhs.uk/?perspective=full&conceptId1=36118008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3553768, Pneumothorax",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3553768,
